Fluid,COP,UA_ev,UA_cd,pinch_ev,pinch_cd
CYCLOPEN_R1336MZZZ_mass_0.55_0.45,5.648112128654374,460976.8631329016,492569.33126388316,5.684045513900685,5.552841051779296
CYCLOPEN_R1336MZZZ_mass_0.60_0.40,5.659956063221709,460976.8631329016,492569.33126388316,5.64472041027625,5.481330146488801
CYCLOPEN_R1336MZZZ_mass_0.65_0.35,5.668418917968234,460976.8631329016,492569.33126388316,5.591157433239914,5.402456703760379
CYCLOPEN_R1336MZZZ_mass_0.70_0.30,5.673890514057323,460976.8631329016,492569.33126388316,5.525669681257568,5.3190696599806415
CYCLOPEN_R1336MZZZ_mass_0.75_0.25,5.676718184233629,460976.8631329016,492569.33126388316,5.4504045568938295,5.233362226417967
CYCLOPEN_R1336MZZZ_mass_0.80_0.20,5.677261852641754,460976.8631329016,492569.33126388316,5.367304169799638,5.146991293986957
CYCLOPEN_R1336MZZZ_mass_0.85_0.15,5.675835614547394,460976.8631329016,492569.33126388316,5.278103491724835,5.0612028535147715
CYCLOPEN_R1336MZZZ_mass_0.90_0.10,5.672713396342474,460976.8631329016,492569.33126388316,5.184319958002334,4.9769150852837925
CYCLOPEN_R1336MZZZ_mass_0.95_0.05,5.6681358905251695,460976.8631329016,492569.33126388316,5.087272389197608,4.894786445753539
CYCLOPEN_R1336MZZZ_mass_1.00_0.00,5.662314459318953,460976.8631329016,492569.33126388316,4.988093913360615,4.815272425887031
Isopentane_Isobutane_mass_0.00_1.00,4.931177338882731,460976.8631329016,492569.33126388316,5.01486588911348,5.1819814179202695
Isopentane_Isobutane_mass_0.05_0.95,5.036760659172059,460976.8631329016,492569.33126388316,5.455421196780151,5.705732814013004
Isopentane_Isobutane_mass_0.10_0.90,5.126196746359288,460976.8631329016,492569.33126388316,5.920585608243925,6.2121401005582015
Isopentane_Isobutane_mass_0.15_0.85,5.20034617614364,460976.8631329016,492569.33126388316,6.397921754730476,6.688751761239303
Isopentane_Isobutane_mass_0.20_0.80,5.260807129436376,460976.8631329016,492569.33126388316,6.228068399381129,7.124185896863594
Isopentane_Isobutane_mass_0.25_0.75,5.309675736163387,460976.8631329016,492569.33126388316,5.732987637018596,7.508265406422538
Isopentane_Isobutane_mass_0.30_0.70,5.349181150468176,460976.8631329016,492569.33126388316,5.38147048590497,7.832111397071401
Isopentane_Isobutane_mass_0.35_0.65,5.381485710885207,460976.8631329016,492569.33126388316,5.156268918804756,8.088017975405023
Isopentane_Isobutane_mass_0.40_0.60,5.408422468043251,460976.8631329016,492569.33126388316,5.0424711912256726,8.269441473733536
Isopentane_Isobutane_mass_0.45_0.55,5.4313814010094585,460976.8631329016,492569.33126388316,5.027896715589634,8.370980426645247
Isopentane_Isobutane_mass_0.50_0.50,5.451243595524317,460976.8631329016,492569.33126388316,5.103129068494184,8.388392239360826
Isopentane_Isobutane_mass_0.55_0.45,5.468345435023978,460976.8631329016,492569.33126388316,5.261319265227542,8.318763820805714
Isopentane_Isobutane_mass_0.60_0.40,5.482441900836773,460976.8631329016,492569.33126388316,5.497878058095068,8.160804016448708
Isopentane_Isobutane_mass_0.65_0.35,5.492649122640942,460976.8631329016,492569.33126388316,5.810124571526046,7.915359382309987
Isopentane_Isobutane_mass_0.70_0.30,5.49736164757585,460976.8631329016,492569.33126388316,6.1968960776400195,7.586094764121015
Isopentane_Isobutane_mass_0.75_0.25,5.494166689920652,460976.8631329016,492569.33126388316,6.658057477026716,7.180289214986431
Isopentane_Isobutane_mass_0.80_0.20,5.4797408282726,460976.8631329016,492569.33126388316,7.193789149804388,6.7271562019186035
Isopentane_Isobutane_mass_0.85_0.15,5.4498860411782575,460976.8631329016,492569.33126388316,6.927905781998959,6.2354762497422485
Isopentane_Isobutane_mass_0.90_0.10,5.400116950949109,460976.8631329016,492569.33126388316,6.313528535785849,5.7232999754310185
Isopentane_Isobutane_mass_0.95_0.05,5.326157400247587,460976.8631329016,492569.33126388316,5.660467326056391,5.214915933053362
Isopentane_Isobutane_mass_1.00_0.00,5.224872721215988,460976.8631329016,492569.33126388316,5.006519577168888,4.734254233400463
PENTANE_R1336MZZE_mass_0.00_1.00,4.81215659607482,460976.8631329016,492569.33126388316,5.0215158047295745,4.923880727021071
PENTANE_R1336MZZE_mass_0.05_0.95,5.070052691690105,460976.8631329016,492569.33126388316,5.882997863858634,6.154285550181612
PENTANE_R1336MZZE_mass_0.10_0.90,5.2154962500109505,460976.8631329016,492569.33126388316,6.445281096377073,6.803199629617154
PENTANE_R1336MZZE_mass_0.15_0.85,5.305457641256762,460976.8631329016,492569.33126388316,6.757421204154866,7.089213055654682
PENTANE_R1336MZZE_mass_0.20_0.80,5.3642819093867296,460976.8631329016,492569.33126388316,6.891852683046636,7.153894414727404
PENTANE_R1336MZZE_mass_0.25_0.75,5.403269586162361,460976.8631329016,492569.33126388316,6.9078241326526495,7.08569611511399
PENTANE_R1336MZZE_mass_0.30_0.70,5.428345703922871,460976.8631329016,492569.33126388316,6.847597945716302,6.9405725691877365
PENTANE_R1336MZZE_mass_0.35_0.65,5.443053041695794,460976.8631329016,492569.33126388316,6.7400350086230105,6.754170380649782
PENTANE_R1336MZZE_mass_0.40_0.60,5.4497592216566675,460976.8631329016,492569.33126388316,6.60456111162182,6.549124822746421
PENTANE_R1336MZZE_mass_0.45_0.55,5.450213279726726,460976.8631329016,492569.33126388316,6.454175394833328,6.339581291697357
PENTANE_R1336MZZE_mass_0.50_0.50,5.445742121823812,460976.8631329016,492569.33126388316,6.297524886888198,6.134147655170409
PENTANE_R1336MZZE_mass_0.55_0.45,5.437452615157544,460976.8631329016,492569.33126388316,6.14030477542633,5.937775120465972
PENTANE_R1336MZZE_mass_0.60_0.40,5.426188640925276,460976.8631329016,492569.33126388316,5.986195866965943,5.75309275865277
PENTANE_R1336MZZE_mass_0.65_0.35,5.412699567313728,460976.8631329016,492569.33126388316,5.8375026423777285,5.581202873234588
PENTANE_R1336MZZE_mass_0.70_0.30,5.397561120488045,460976.8631329016,492569.33126388316,5.695586578251266,5.422297799668911
PENTANE_R1336MZZE_mass_0.75_0.25,5.381246635588151,460976.8631329016,492569.33126388316,5.561167741596819,5.276012062439463
PENTANE_R1336MZZE_mass_0.80_0.20,5.364137154976152,460976.8631329016,492569.33126388316,5.434532737850532,5.1416688783886
PENTANE_R1336MZZE_mass_0.85_0.15,5.346536436819265,460976.8631329016,492569.33126388316,5.315679110633539,5.0184364134339035
PENTANE_R1336MZZE_mass_0.90_0.10,5.328685658514623,460976.8631329016,492569.33126388316,5.2044162469871935,4.905425090640847
PENTANE_R1336MZZE_mass_0.95_0.05,5.310789980069733,460976.8631329016,492569.33126388316,5.100440215708886,4.801741062075109
PENTANE_R1336MZZE_mass_1.00_0.00,5.292978979001413,460976.8631329016,492569.33126388316,5.00337019384358,4.706539774548901
R1224YDZ_R1234ZEE_mass_0.00_1.00,4.728348711384479,460976.8631329016,492569.33126388316,5.022344761090494,5.631521586073177
R1224YDZ_R1234ZEE_mass_0.05_0.95,4.788046364075104,460976.8631329016,492569.33126388316,5.2347042118883,5.804171404551425
R1224YDZ_R1234ZEE_mass_0.10_0.90,4.848061543967769,460976.8631329016,492569.33126388316,5.468073486609569,6.0016069015835
R1224YDZ_R1234ZEE_mass_0.15_0.85,4.907381688136826,460976.8631329016,492569.33126388316,5.722237047782073,6.221089146461395
R1224YDZ_R1234ZEE_mass_0.20_0.80,4.964984768152675,460976.8631329016,492569.33126388316,5.995696426124937,6.458140356810361
R1224YDZ_R1234ZEE_mass_0.25_0.75,5.019938543591591,460976.8631329016,492569.33126388316,6.285195991782416,6.7063527316257705
R1224YDZ_R1234ZEE_mass_0.30_0.70,5.071472078849,460976.8631329016,492569.33126388316,6.585266349644087,6.9575988497859385
R1224YDZ_R1234ZEE_mass_0.35_0.65,5.119069108557298,460976.8631329016,492569.33126388316,6.568280657914215,7.201958036338567
R1224YDZ_R1234ZEE_mass_0.40_0.60,5.162500405029729,460976.8631329016,492569.33126388316,6.271359444884524,7.428046265309206
R1224YDZ_R1234ZEE_mass_0.45_0.55,5.201809861152401,460976.8631329016,492569.33126388316,6.057000591860401,7.6233089509049705
R1224YDZ_R1234ZEE_mass_0.50_0.50,5.237228995637823,460976.8631329016,492569.33126388316,5.930399631836849,7.7744511530015075
R1224YDZ_R1234ZEE_mass_0.55_0.45,5.269029543722098,460976.8631329016,492569.33126388316,5.894845899899906,7.867968171326936
R1224YDZ_R1234ZEE_mass_0.60_0.40,5.297381132043754,460976.8631329016,492569.33126388316,5.952497320979944,7.890700026970023
R1224YDZ_R1234ZEE_mass_0.65_0.35,5.322124275726596,460976.8631329016,492569.33126388316,6.105157780347497,7.830529694994425
R1224YDZ_R1234ZEE_mass_0.70_0.30,5.342406516307492,460976.8631329016,492569.33126388316,6.354927867440949,7.677486279659092
R1224YDZ_R1234ZEE_mass_0.75_0.25,5.356401588179435,460976.8631329016,492569.33126388316,6.704616726860934,7.4252173026091555
R1224YDZ_R1234ZEE_mass_0.80_0.20,5.360889050731764,460976.8631329016,492569.33126388316,7.157762008076247,7.073260864644169
R1224YDZ_R1234ZEE_mass_0.85_0.15,5.350799182512718,460976.8631329016,492569.33126388316,6.958271419375762,6.629999918415365
R1224YDZ_R1234ZEE_mass_0.90_0.10,5.3190096796484525,460976.8631329016,492569.33126388316,6.384730008143379,6.115536417558644
R1224YDZ_R1234ZEE_mass_0.95_0.05,5.256703914500235,460976.8631329016,492569.33126388316,5.717362803245521,5.562843674413614
R1224YDZ_R1234ZEE_mass_1.00_0.00,5.154903632120917,460976.8631329016,492569.33126388316,5.007259433759714,5.0147871650429465
R1336MZZZ_R1336MZZE_mass_0.00_1.00,4.81215659607482,460976.8631329016,492569.33126388316,5.0215158047295745,4.923880727021071
R1336MZZZ_R1336MZZE_mass_0.05_0.95,4.870355884007212,460976.8631329016,492569.33126388316,5.208991589029495,5.145100118471248
R1336MZZZ_R1336MZZE_mass_0.10_0.90,4.925392914174425,460976.8631329016,492569.33126388316,5.399728176971109,5.363321365521415
R1336MZZZ_R1336MZZE_mass_0.15_0.85,4.976924228572127,460976.8631329016,492569.33126388316,5.590215036332552,5.572773695201533
R1336MZZZ_R1336MZZE_mass_0.20_0.80,5.024552351884624,460976.8631329016,492569.33126388316,5.776301751912229,5.767808142869455
R1336MZZZ_R1336MZZE_mass_0.25_0.75,5.068084926693573,460976.8631329016,492569.33126388316,5.953320442822928,5.943037342800551
R1336MZZZ_R1336MZZE_mass_0.30_0.70,5.107446151475883,460976.8631329016,492569.33126388316,6.116270328598432,6.093556651054371
R1336MZZZ_R1336MZZE_mass_0.35_0.65,5.142643575514431,460976.8631329016,492569.33126388316,6.260032931437479,6.215118458058669
R1336MZZZ_R1336MZZE_mass_0.40_0.60,5.173725171077676,460976.8631329016,492569.33126388316,6.379594197152187,6.304220067410995
R1336MZZZ_R1336MZZE_mass_0.45_0.55,5.200733926825982,460976.8631329016,492569.33126388316,6.470253866402629,6.358163685328009
R1336MZZZ_R1336MZZE_mass_0.50_0.50,5.223666294894595,460976.8631329016,492569.33126388316,6.5278242737144865,6.375087816627058
R1336MZZZ_R1336MZZE_mass_0.55_0.45,5.2424329185687935,460976.8631329016,492569.33126388316,6.548778703053813,6.354003013315548
R1336MZZZ_R1336MZZE_mass_0.60_0.40,5.256828407288282,460976.8631329016,492569.33126388316,6.530396559329063,6.294826975089165
R1336MZZZ_R1336MZZE_mass_0.65_0.35,5.266507292192133,460976.8631329016,492569.33126388316,6.470886376871761,6.198430836053092
R1336MZZZ_R1336MZZE_mass_0.70_0.30,5.270968176014553,460976.8631329016,492569.33126388316,6.369509680165379,6.0666912200381375
R1336MZZZ_R1336MZZE_mass_0.75_0.25,5.269550118433423,460976.8631329016,492569.33126388316,6.226714482387706,5.902535807647666
R1336MZZZ_R1336MZZE_mass_0.80_0.20,5.261417822323615,460976.8631329016,492569.33126388316,6.044289239921795,5.709982598705039
R1336MZZZ_R1336MZZE_mass_0.85_0.15,5.245668612000657,460976.8631329016,492569.33126388316,5.825534735849999,5.494055648534413
R1336MZZZ_R1336MZZE_mass_0.90_0.10,5.2212630649239555,460976.8631329016,492569.33126388316,5.575423064681274,5.260744615479609
R1336MZZZ_R1336MZZE_mass_0.95_0.05,5.187102227175356,460976.8631329016,492569.33126388316,5.300733459404171,5.016782972094745
R1336MZZZ_R1336MZZE_mass_1.00_0.00,5.142284416549007,460976.8631329016,492569.33126388316,5.010057095244633,4.769273746445094
