Fluid,COP,UA_ev,UA_cd
CYCLOPEN_R1233ZDE_mass_0.25_0.75,6.25634310176723,516550.0754427912,644962.1920927903
CYCLOPEN_R1233ZDE_mass_0.30_0.70,6.294960192189612,500509.7156099495,663290.1730419634
CYCLOPEN_R1233ZDE_mass_0.35_0.65,6.3306604989786495,494991.11181174644,671681.1354177379
CYCLOPEN_R1233ZDE_mass_0.40_0.60,6.362567766358675,497078.59643974144,670825.1312098949
CYCLOPEN_R1233ZDE_mass_0.45_0.55,6.3901516982980855,505184.5582965475,662291.9792087399
CYCLOPEN_R1233ZDE_mass_0.50_0.50,6.413129027037382,518515.23100466735,648038.2758502408
CYCLOPEN_R1233ZDE_mass_0.55_0.45,6.431373755732576,536821.7067021703,630015.1111989103
CYCLOPEN_R1233ZDE_mass_0.60_0.40,6.444853683962881,560306.7198577329,609921.4691262414
CYCLOPEN_R1233ZDE_mass_0.65_0.35,6.453588398850921,589644.5065939378,589093.7642893036
CYCLOPEN_R1233ZDE_mass_0.70_0.30,6.457623146443454,626126.1322619884,568495.2789788785
CYCLOPEN_R1233ZDE_mass_0.75_0.25,6.339808859142721,602516.2667125313,550679.6737727673
CYCLOPEN_R1233ZDE_mass_0.80_0.20,6.199759018846671,570375.1849740883,534347.6781268023
CYCLOPEN_R1233ZDE_mass_0.85_0.15,6.056291149233745,539279.5805659288,519409.05657150963
CYCLOPEN_R1233ZDE_mass_0.90_0.10,5.913062022990895,510234.7424143154,505898.7539876055
CYCLOPEN_R1233ZDE_mass_0.95_0.05,5.772934018648378,483824.8654949908,493780.9624912014
CYCLOPEN_R1233ZDE_mass_1.00_0.00,5.6379918143262175,460311.6187031847,482980.67708431697
CYCLOPEN_R1336MZZZ_mass_0.00_1.00,5.114992514856745,461546.83372841775,480841.4602119823
CYCLOPEN_R1336MZZZ_mass_0.05_0.95,5.208118473209916,465075.08657175594,486146.08498780127
CYCLOPEN_R1336MZZZ_mass_0.10_0.90,5.312468237236334,470684.67949533445,493818.599208934
CYCLOPEN_R1336MZZZ_mass_0.15_0.85,5.426667469811833,477366.8931792582,505715.85143151984
CYCLOPEN_R1336MZZZ_mass_0.20_0.80,5.529514193599578,484221.6476070408,515132.0978725786
CYCLOPEN_R1336MZZZ_mass_0.25_0.75,5.6166626184514845,490557.0757096326,521831.75911399594
CYCLOPEN_R1336MZZZ_mass_0.30_0.70,5.686735599607556,495891.5017349434,525938.7311030029
CYCLOPEN_R1336MZZZ_mass_0.35_0.65,5.740212906809239,499931.4576953445,527779.8500063657
CYCLOPEN_R1336MZZZ_mass_0.40_0.60,5.778456830348792,502540.7951127295,527765.9560839135
CYCLOPEN_R1336MZZZ_mass_0.45_0.55,5.803290518475029,503706.31882833276,526305.1990190252
CYCLOPEN_R1336MZZZ_mass_0.50_0.50,5.816644092042764,503503.83433572116,523764.75332924625
CYCLOPEN_R1336MZZZ_mass_0.55_0.45,5.820370357721331,502067.1003931804,520454.5126977278
CYCLOPEN_R1336MZZZ_mass_0.60_0.40,5.816198546096416,499562.01006194705,516622.948661245
CYCLOPEN_R1336MZZZ_mass_0.65_0.35,5.805622337999604,496166.6381589998,512464.9513606276
CYCLOPEN_R1336MZZZ_mass_0.70_0.30,5.789878425213787,492056.75804679753,508133.83487844415
CYCLOPEN_R1336MZZZ_mass_0.75_0.25,5.770057013110577,487396.55929308664,503741.52712397685
CYCLOPEN_R1336MZZZ_mass_0.80_0.20,5.747110887696571,482332.98917856335,499368.8986124446
CYCLOPEN_R1336MZZZ_mass_0.85_0.15,5.721834570742377,476993.9904374464,495073.37303262873
CYCLOPEN_R1336MZZZ_mass_0.90_0.10,5.69488233895688,471487.51124915824,490894.48952557606
CYCLOPEN_R1336MZZZ_mass_0.95_0.05,5.6667898181934975,465902.6839860533,486858.26740646583
CYCLOPEN_R1336MZZZ_mass_1.00_0.00,5.6379918143262175,460311.6187031847,482980.67708431697
Isopentane_Isobutane_mass_0.00_1.00,4.955953954100686,461803.0151014034,501912.2033720886
Isopentane_Isobutane_mass_0.05_0.95,5.1912832237773445,487257.37148001196,529166.0646766655
Isopentane_Isobutane_mass_0.10_0.90,5.42542944587069,516236.19532526867,557998.561335774
Isopentane_Isobutane_mass_0.15_0.85,5.654961507951979,549090.2421515184,587700.7087020114
Isopentane_Isobutane_mass_0.20_0.80,5.754262846317672,529815.3154275067,620026.4707583061
Isopentane_Isobutane_mass_0.25_0.75,5.787736229969411,495930.5379633536,652238.9740526683
Isopentane_Isobutane_mass_0.30_0.70,5.823521372517391,474491.32313727436,681259.0792296323
Isopentane_Isobutane_mass_0.35_0.65,5.860551803093025,461584.24357244617,705408.755683318
Isopentane_Isobutane_mass_0.40_0.60,5.89778948301471,455096.3322950865,723034.4560518265
Isopentane_Isobutane_mass_0.45_0.55,5.9342149519381495,453867.6445877637,732721.5981402288
Isopentane_Isobutane_mass_0.50_0.50,5.968805711194519,457321.621493946,733536.6768325401
Isopentane_Isobutane_mass_0.55_0.45,6.000503857136216,465303.7943180551,725233.8699732982
Isopentane_Isobutane_mass_0.60_0.40,6.028180185836859,478034.76515656523,708357.5899814
Isopentane_Isobutane_mass_0.65_0.35,6.050591090754299,496152.6497065312,684186.2761765858
Isopentane_Isobutane_mass_0.70_0.30,6.066329532042983,520865.63084631594,654518.4796558496
Isopentane_Isobutane_mass_0.75_0.25,6.073767907385865,554301.2255220786,621362.7948774659
Isopentane_Isobutane_mass_0.80_0.20,6.070990622474363,600301.2570428394,586633.0426921633
Isopentane_Isobutane_mass_0.85_0.15,5.947253756804946,601141.9300478791,554701.9679591961
Isopentane_Isobutane_mass_0.90_0.10,5.70208560595213,547937.7556252087,527132.1759601539
Isopentane_Isobutane_mass_0.95_0.05,5.447807639692367,500895.99704583467,501763.0088737069
Isopentane_Isobutane_mass_1.00_0.00,5.192979511334128,461348.38612359,479035.32841892116
PENTANE_R1336MZZE_mass_0.00_1.00,4.805266749872897,462185.8327783864,488690.96030428645
PENTANE_R1336MZZE_mass_0.05_0.95,5.360836628361368,514297.63533272536,554585.7164985746
PENTANE_R1336MZZE_mass_0.10_0.90,5.708514100003595,554831.5094675254,594319.2302140315
PENTANE_R1336MZZE_mass_0.15_0.85,5.9084523634620645,581183.9789839544,612487.9629824765
PENTANE_R1336MZZE_mass_0.20_0.80,5.985012655501041,583087.0609979841,616473.4016497928
PENTANE_R1336MZZE_mass_0.25_0.75,6.032529288602859,592967.3138300958,610775.6813269153
PENTANE_R1336MZZE_mass_0.30_0.70,6.028850553776302,591866.1360127885,600430.3550514348
