x_first_fluid,fluid,T_turbine_inlet,eta_refprop,eta_tabular,eta_dev_pct,P_net_refprop_kW,P_net_tabular_kW,P_dev_pct,max_h_dev_pct,max_T_dev_K,t_solve_refprop,t_solve_tabular,status
0.5,CYCLOPEN[0.50]&R1336MZZZ[0.50]|mass,150.0,0.19006239270814324,0.1900624621605526,3.654189993180898e-05,208.058938820045,208.05890673424108,1.5421497439656527e-05,5.751438879316188e-05,5.623877939342492e-05,0.061284680996323004,0.03519435299676843,ok
0.55,CYCLOPEN[0.55]&R1336MZZZ[0.45]|mass,150.0,0.19055788429307755,0.19055790616157958,1.1476041580819518e-05,206.02297833548724,206.02298077741725,1.185270704881612e-06,1.2602939110462235e-05,1.0998350262525491e-05,0.06476591998944059,0.034690466010943055,ok
0.6,CYCLOPEN[0.60]&R1336MZZZ[0.40]|mass,150.0,0.19100416456882477,0.19100417801354716,7.038968192816236e-06,204.05020798626333,204.050206804979,5.789184583643845e-07,1.7029344066837747e-05,9.995560105835466e-06,0.06322636699769646,0.03721858000790235,ok
0.65,CYCLOPEN[0.65]&R1336MZZZ[0.35]|mass,150.0,0.19141039810339658,0.19141041627967023,9.49596982868219e-06,202.12829909499334,202.12829138816352,3.812840584005362e-06,2.847704787986854e-05,1.4284964493072039e-05,0.06343783299962524,0.03371010400587693,ok
0.7,CYCLOPEN[0.70]&R1336MZZZ[0.30]|mass,150.0,0.19178370483384977,0.19178371404376435,4.802240413989011e-06,200.24937499718624,200.24937212766622,1.432973270052514e-06,2.4834862643362385e-05,9.924956600571022e-06,0.06296949600800872,0.035112035999190994,ok
0.75,CYCLOPEN[0.75]&R1336MZZZ[0.25]|mass,150.0,0.19212965986918262,0.1921296904079645,1.589488155302216e-05,198.4083985395745,198.40838606900758,6.285301943423575e-06,6.549104288261425e-05,2.2631372758041834e-05,0.0605605029995786,0.029521634001866914,ok
0.8,CYCLOPEN[0.80]&R1336MZZZ[0.20]|mass,150.0,0.19245266041661496,0.19245267899201896,9.651934118519025e-06,196.60215278855966,196.6021447282411,4.099811962174636e-06,0.0002671016165465492,1.5230509745833842e-05,0.05681779900623951,0.02901515900157392,ok
0.85,CYCLOPEN[0.85]&R1336MZZZ[0.15]|mass,150.0,0.19275620193937776,0.19275620832627524,3.3134588764730963e-06,194.8285834285416,194.8285765567887,3.527076356501994e-06,7.345893510005884e-05,1.0691694740216917e-05,0.14941102000011597,0.03409275801095646,ok
0.9,CYCLOPEN[0.90]&R1336MZZZ[0.10]|mass,150.0,0.1930430853590448,0.19304308654607963,6.149066822737294e-07,193.0863724507412,193.0863633161853,4.730813362929467e-06,0.00014804055485405376,9.826231860188273e-06,0.07285768099245615,0.03958025800238829,ok
0.95,CYCLOPEN[0.95]&R1336MZZZ[0.05]|mass,150.0,0.19331557271267405,0.1933155919141521,9.932711460860556e-06,191.37465994978058,191.3746448401925,7.895291926672297e-06,0.0018570312958177872,2.0417835457919864e-05,0.06208801099273842,0.036477325003943406,ok
1.0,CYCLOPEN,150.0,0.19357550527924372,0.1935755308323415,1.3200584309347308e-05,189.6928629801033,189.69285737412997,2.955289542450683e-06,0.00016086071093515978,1.563409603022592e-05,0.031532107008388266,0.031198031996609643,ok
